Частота (Гц), Амплитуда (дБ)
77.60, -12.55
77.65, -8.57
77.70, -13.12
77.75, -5.70
77.80, -15.37
77.85, -16.07
77.90, -8.26
77.95, -7.96
78.00, -4.72
78.05, -6.02
78.10, -8.83
78.15, -1.49
78.20, -7.73
78.25, -5.55
78.30, -15.57
78.35, -6.12
78.40, -4.66
78.45, -8.04
78.50, -17.29
78.55, -19.51
78.60, -7.34
78.65, -9.98
78.70, -4.49
78.75, -10.66
78.80, -24.28
78.85, -23.48
78.90, -24.39
78.95, -7.81
79.00, -18.49
79.05, -8.82
79.10, -7.23
79.15, -6.20
79.20, -19.98
79.25, -8.36
79.30, -10.01
79.35, -12.19
79.40, -9.37
79.45, -0.29
79.50, -7.42
79.55, -9.65
79.60, -21.34
79.65, -4.62
79.70, -7.12
79.75, -14.66
79.80, -16.02
79.85, -9.18
79.90, -23.37
79.95, -18.97
80.00, -16.58
80.05, -14.14
80.10, -21.90
80.15, -8.38
80.20, -7.74
80.25, -15.21
80.30, -8.20
80.35, -15.67
80.40, -23.66
80.45, -11.86
80.50, -8.08
80.55, -5.94
80.60, -7.23
80.65, -5.71
80.70, -15.99
80.75, -11.05
80.80, -9.63
80.85, -6.17
80.90, -11.44
80.95, -14.14
81.00, -12.91
81.05, -17.33
81.10, -4.77
81.15, -20.74
81.20, -7.93
81.25, -5.00
81.30, -11.06
81.35, -13.10
81.40, -8.36
81.45, -19.04
81.50, -0.96
81.55, -3.68
81.60, -11.50
81.65, -20.97
81.70, -9.81
81.75, -10.86
81.80, -19.30
81.85, -12.07
81.90, -20.27
81.95, -4.14
82.00, -9.25
82.05, -17.65
82.10, -12.75
82.15, -11.92
82.20, -10.10
82.25, -2.84
82.30, -7.79
82.35, -9.95
82.40, -7.33
82.45, -12.16
82.50, -18.66
82.55, -7.19
82.60, -13.49
82.65, -16.75
82.70, -2.90
82.75, -8.53
82.80, -3.51
82.85, -3.36
82.90, -11.06
82.95, -11.78
83.00, -14.06
83.05, -10.49
83.10, -2.27
83.15, -4.67
83.20, -8.85
83.25, -3.43
83.30, -12.94
83.35, -9.67
83.40, -8.34
83.45, -2.86
83.50, -7.94
83.55, -8.56
83.60, -4.34
83.65, -8.26
83.70, -14.02
83.75, -6.97
83.80, -13.42
83.85, -6.04
83.90, -10.03
83.95, -25.30
84.00, -6.59
84.05, -21.99
84.10, -4.34
84.15, -14.86
84.20, -4.19
84.25, -9.09
84.30, -12.38
84.35, -4.71
84.40, -11.64
84.45, -10.17
84.50, -8.49
84.55, -20.80
84.60, -5.31
84.65, -5.16
84.70, -11.68
84.75, -10.85
84.80, -9.22
84.85, -1.31
84.90, -3.68
84.95, -5.85
85.00, -7.46
85.05, -11.61
85.10, -8.70
85.15, -14.54
85.20, -5.53
85.25, -8.10
85.30, -8.22
85.35, -6.70
85.40, -8.78
85.45, -5.80
85.50, -9.26
85.55, -13.01
85.60, -13.17
85.65, -9.39
85.70, -12.66
85.75, -15.77
85.80, -4.24
85.85, -16.17
85.90, -8.62
85.95, -3.19
86.00, -3.86
86.05, -7.77
86.10, -3.68
86.15, -27.47
86.20, -18.90
86.25, -3.79
86.30, -11.05
86.35, -34.16
86.40, -11.73
86.45, -7.35
86.50, -9.45
86.55, -10.16
86.60, -11.20
86.65, -0.49
86.70, -11.22
86.75, -1.88
86.80, -13.27
86.85, -8.09
86.90, -13.25
86.95, -9.13
87.00, -20.82
87.05, -6.25
87.10, -8.33
87.15, -10.09
87.20, -8.74
87.25, -6.91
87.30, -13.29
87.35, -10.01
87.40, -8.21
87.45, -6.02
87.50, -1.71
87.55, -9.51
87.60, -20.46
87.65, -10.65
87.70, -3.41
87.75, -21.62
87.80, -4.67
87.85, -7.76
87.90, -6.96
87.95, -10.29
88.00, -28.38
88.05, -11.64
88.10, -7.23
88.15, -10.31
88.20, -3.37
88.25, -8.57
88.30, -12.01
88.35, -4.85
88.40, -5.92
88.45, -14.27
88.50, -2.40
88.55, -4.12
88.60, -8.89
88.65, -15.12
88.70, -10.60
88.75, -17.18
88.80, -12.42
88.85, -13.34
88.90, -11.62
88.95, -15.06
89.00, -11.32
89.05, -9.42
89.10, -2.18
89.15, -3.95
89.20, -4.83
89.25, -4.13
89.30, -21.61
89.35, -6.84
89.40, -4.32
89.45, -7.22
89.50, -9.22
89.55, -1.70
89.60, -7.16
89.65, -14.22
89.70, -6.67
89.75, 2.36
89.80, -10.69
89.85, -2.82
89.90, -7.01
89.95, -10.61
90.00, -6.72
90.05, -4.07
90.10, -9.95
90.15, -12.01
90.20, -12.63
90.25, -6.42
90.30, -6.14
90.35, -3.45
90.40, -2.57
90.45, -15.15
90.50, -5.04
90.55, -15.53
90.60, -12.49
90.65, -4.83
90.70, -7.34
90.75, 0.49
90.80, -11.26
90.85, -11.26
90.90, -14.59
90.95, -8.72
91.00, -8.57
91.05, -8.50
91.10, -5.47
91.15, -5.03
91.20, -3.86
91.25, -7.92
91.30, -47.09
91.35, -19.19
91.40, -21.97
91.45, -6.76
91.50, -4.87
91.55, -0.49
91.60, -7.22
91.65, -11.11
91.70, -7.82
91.75, -10.50
91.80, -7.48
91.85, -13.19
91.90, -9.37
91.95, -9.22
92.00, -1.27
92.05, -6.86
92.10, 1.94
92.15, -15.83
92.20, -8.88
92.25, -9.55
92.30, -4.67
92.35, -7.77
92.40, -2.57
92.45, -14.24
92.50, -7.53
92.55, -5.20
92.60, -16.54
92.65, -3.29
92.70, -5.48
92.75, -9.15
92.80, -12.85
92.85, -6.57
92.90, -2.31
92.95, -14.61
93.00, 0.39
93.05, -11.62
93.10, -17.99
93.15, 1.58
93.20, -3.25
93.25, -12.28
93.30, -6.62
93.35, -8.01
93.40, -3.89
93.45, -0.95
93.50, -20.71
93.55, -8.19
93.60, -10.06
93.65, -1.35
93.70, -9.64
93.75, -7.09
93.80, 1.38
93.85, -16.22
93.90, -6.26
93.95, -3.36
94.00, -3.76
94.05, -8.64
94.10, -5.91
94.15, -16.54
94.20, -0.68
94.25, -9.72
94.30, -16.68
94.35, -12.75
94.40, -7.93
94.45, -10.57
94.50, -6.51
94.55, -0.01
94.60, -10.53
94.65, -21.25
94.70, -14.34
94.75, -9.28
94.80, -9.63
94.85, -7.47
94.90, -20.41
94.95, -1.98
95.00, -14.23
95.05, -3.65
95.10, -8.00
95.15, -0.39
95.20, -7.13
95.25, -3.78
95.30, -4.37
95.35, -4.13
95.40, -9.09
95.45, -1.36
95.50, 2.13
95.55, -4.97
95.60, -4.78
95.65, -13.42
95.70, -6.29
95.75, -6.42
95.80, -7.28
95.85, -2.98
95.90, -9.11
95.95, -1.77
96.00, -5.04
96.05, -4.17
96.10, -23.07
96.15, -5.68
96.20, -14.96
96.25, -2.31
96.30, -11.66
96.35, -16.14
96.40, 1.35
96.45, -15.43
96.50, -8.69
96.55, -9.33
96.60, -8.64
96.65, 0.64
96.70, -4.15
96.75, 2.12
96.80, -0.88
96.85, -1.61
96.90, -2.38
96.95, -3.02
97.00, -4.82
97.05, 1.48
97.10, -10.22
97.15, -1.14
97.20, 2.01
97.25, -4.64
97.30, -4.31
97.35, -6.96
97.40, -13.30
97.45, -3.87
97.50, -7.59
97.55, -13.87
97.60, -1.14
97.65, 3.49
97.70, 0.80
97.75, -4.75
97.80, -4.75
97.85, -8.12
97.90, -2.75
97.95, -1.06
98.00, -11.41
98.05, -10.64
98.10, -11.92
98.15, -5.43
98.20, -3.96
98.25, -8.01
98.30, -1.83
98.35, -3.62
98.40, -2.15
98.45, -11.85
98.50, -12.96
98.55, -1.72
98.60, -4.19
98.65, 2.08
98.70, -4.51
98.75, 2.71
98.80, -8.40
98.85, -15.92
98.90, 2.83
98.95, 0.42
99.00, -10.75
99.05, -7.25
99.10, -14.16
99.15, -5.21
99.20, -4.21
99.25, -9.74
99.30, -12.15
99.35, -4.19
99.40, -4.40
99.45, 0.77
99.50, -10.80
99.55, -5.54
99.60, -18.03
99.65, -0.48
99.70, -9.00
99.75, -11.86
99.80, -1.72
99.85, -6.95
99.90, -1.60
99.95, -2.17
100.00, -4.21
100.05, -1.31
100.10, -7.38
100.15, -13.33
100.20, -5.07
100.25, 2.12
100.30, -0.69
100.35, -1.94
100.40, -11.83
100.45, -20.59
100.50, -1.71
100.55, -6.81
100.60, -10.73
100.65, -8.52
100.70, -6.21
100.75, -10.77
100.80, 0.11
100.85, -7.62
100.90, -10.87
100.95, -8.96
101.00, 0.42
101.05, -8.02
101.10, -1.14
101.15, -1.57
101.20, -15.68
101.25, -6.71
101.30, -7.99
101.35, -2.14
101.40, -11.27
101.45, -13.31
101.50, -1.28
101.55, -3.05
101.60, -12.78
101.65, 1.62
101.70, -1.51
101.75, -1.50
101.80, -4.13
101.85, -7.07
101.90, -3.20
101.95, -3.74
102.00, -6.99
102.05, -11.13
102.10, -6.79
102.15, 0.22
102.20, -7.83
102.25, -5.33
102.30, -7.66
102.35, -1.82
102.40, -7.95
102.45, -0.87
102.50, -1.75
102.55, -13.88
102.60, -2.62
102.65, 1.67
102.70, -8.59
102.75, -6.89
102.80, -1.73
102.85, -15.00
102.90, -3.17
102.95, -2.16
103.00, -4.44
103.05, -17.88
103.10, -11.08
103.15, -8.29
103.20, -8.30
103.25, -6.88
103.30, -2.13
103.35, -3.65
103.40, -2.17
103.45, -0.84
103.50, 0.40
103.55, 0.13
103.60, -6.05
103.65, -9.35
103.70, -20.30
103.75, -5.04
103.80, -0.06
103.85, -24.85
103.90, -6.14
103.95, -12.89
104.00, -13.94
104.05, -12.92
104.10, -12.92
104.15, -3.07
104.20, -23.16
104.25, -1.66
104.30, -1.06
104.35, -3.39
104.40, -10.69
104.45, -9.68
104.50, -0.50
104.55, -1.71
104.60, -6.49
104.65, 0.97
104.70, -1.63
104.75, -11.07
104.80, -1.74
104.85, -5.44
104.90, -4.16
104.95, -7.95
105.00, -9.41
105.05, -8.88
105.10, -11.93
105.15, -20.80
105.20, -1.53
105.25, -18.85
105.30, -3.74
105.35, -1.60
105.40, -6.48
105.45, -12.66
105.50, -4.48
105.55, -1.55
105.60, -4.38
105.65, -4.43
105.70, -0.50
105.75, -9.55
105.80, -8.20
105.85, -0.47
105.90, 0.95
105.95, -7.55
106.00, -4.42
106.05, -2.01
106.10, -5.93
106.15, -3.12
106.20, -1.80
106.25, -7.44
106.30, -6.09
106.35, -7.43
106.40, -11.67
106.45, -8.01
106.50, -5.90
106.55, -6.25
106.60, -14.69
106.65, -2.61
106.70, 0.98
106.75, -8.51
106.80, -11.07
106.85, -1.14
106.90, -9.01
106.95, 3.61
107.00, -14.78
107.05, -4.62
107.10, -21.23
107.15, -3.13
107.20, -2.63
107.25, -4.66
107.30, -1.78
107.35, -5.40
107.40, -8.70
107.45, -0.86
107.50, 2.09
107.55, -6.07
107.60, -6.70
107.65, -0.07
107.70, -3.75
107.75, -8.15
107.80, -0.46
107.85, -7.00
107.90, -12.61
107.95, 1.78
108.00, -5.99
108.05, -0.99
108.10, -5.33
108.15, -17.43
108.20, 0.73
108.25, -3.13
108.30, -3.34
108.35, -18.14
108.40, 0.24
108.45, 0.10
108.50, -3.87
108.55, -0.77
108.60, -2.96
108.65, 2.11
108.70, -7.69
108.75, 2.30
108.80, -1.92
108.85, 0.78
108.90, -15.22
108.95, -0.76
109.00, 3.83
109.05, -6.28
109.10, 2.85
109.15, 1.72
109.20, -2.96
109.25, 0.79
109.30, -5.01
109.35, -4.81
109.40, -3.49
109.45, -10.68
109.50, -5.99
109.55, -12.92
109.60, -0.34
109.65, -20.31
109.70, -0.01
109.75, -3.68
109.80, -6.15
109.85, -3.63
109.90, 5.27
109.95, -3.52
110.00, 2.05
110.05, -5.28
110.10, -9.89
110.15, -2.71
110.20, -1.14
110.25, -3.66
110.30, -7.40
110.35, -8.74
110.40, -1.82
110.45, -5.88
110.50, -1.08
110.55, 0.56
110.60, -0.35
110.65, -2.03
110.70, 3.79
110.75, -0.55
110.80, -7.68
110.85, -4.07
110.90, -0.02
110.95, -4.50
111.00, -4.12
111.05, 1.15
111.10, 0.16
111.15, -6.14
111.20, -3.13
111.25, -7.58
111.30, -6.39
111.35, -11.13
111.40, 3.64
111.45, -34.78
111.50, -3.50
111.55, 3.51
111.60, -2.41
111.65, -11.49
111.70, 0.13
111.75, -1.12
111.80, -2.91
111.85, 0.26
111.90, -8.45
111.95, -2.66
112.00, 2.50
112.05, -6.17
112.10, 1.83
112.15, -10.03
112.20, -3.51
112.25, -0.53
112.30, 1.87
112.35, 2.75
112.40, -5.19
112.45, 2.37
112.50, -0.47
112.55, -11.01
112.60, 2.11
112.65, -3.63
112.70, -4.09
112.75, -6.37
112.80, -11.32
112.85, -3.53
112.90, -9.29
112.95, -3.67
113.00, 1.64
113.05, 5.26
113.10, -3.98
113.15, -11.34
113.20, -31.39
113.25, 1.91
113.30, -2.17
113.35, -1.78
113.40, -3.63
113.45, -6.37
113.50, -5.22
113.55, -12.55
113.60, -8.50
113.65, -0.80
113.70, -27.03
113.75, 2.30
113.80, -7.68
113.85, -5.31
113.90, 1.62
113.95, 0.93
114.00, 4.18
114.05, -7.62
114.10, -3.80
114.15, -3.36
114.20, -0.22
114.25, 1.54
114.30, 2.23
114.35, -0.79
114.40, -16.32
114.45, -5.01
114.50, -4.07
114.55, -3.43
114.60, -3.69
114.65, -5.18
114.70, -14.75
114.75, -0.90
114.80, 2.88
114.85, -5.04
114.90, -5.47
114.95, -5.16
115.00, 0.11
115.05, -3.53
115.10, -6.52
115.15, -0.22
115.20, 2.92
115.25, 1.84
115.30, -4.67
115.35, -2.18
115.40, -10.98
115.45, -4.49
115.50, -8.22
115.55, 3.56
115.60, -4.50
115.65, -4.99
115.70, -5.06
115.75, -4.15
115.80, -2.66
115.85, 2.24
115.90, -2.55
115.95, -14.20
116.00, -3.98
116.05, -11.48
116.10, -4.26
116.15, 0.96
116.20, -4.99
116.25, -0.14
116.30, 8.42
116.35, -16.92
116.40, 2.53
116.45, -8.69
116.50, -7.67
116.55, -2.35
116.60, -16.44
116.65, 2.41
116.70, -3.19
116.75, -2.21
116.80, 4.38
116.85, -0.82
116.90, -7.44
116.95, 4.72
117.00, -1.83
117.05, -1.75
117.10, 2.86
117.15, -1.33
117.20, -0.95
117.25, -7.83
117.30, 2.71
117.35, -6.68
117.40, -2.69
117.45, 0.41
117.50, -2.48
117.55, -0.36
117.60, 1.39
117.65, -5.65
117.70, -2.55
117.75, -4.32
117.80, 1.84
117.85, -1.39
117.90, 2.09
117.95, -1.97
118.00, -13.09
118.05, -1.47
118.10, 1.29
118.15, 3.43
118.20, 4.08
118.25, -1.21
118.30, 1.75
118.35, -1.91
118.40, -8.67
118.45, -1.08
118.50, -3.89
118.55, -3.44
118.60, 1.61
118.65, -14.25
118.70, -1.84
118.75, 1.31
118.80, -1.06
118.85, -1.68
118.90, 1.91
118.95, -4.22
119.00, -0.22
119.05, 4.64
119.10, 5.43
119.15, 2.86
119.20, 2.81
119.25, 5.08
119.30, 0.46
119.35, -2.97
119.40, -3.40
119.45, 5.65
119.50, 1.28
119.55, -6.13
119.60, 6.60
119.65, 5.01
119.70, 5.95
119.75, 2.56
119.80, -6.50
119.85, 5.93
119.90, 4.00
119.95, 1.61
120.00, -5.11
120.05, -8.29
120.10, -4.58
120.15, 2.85
120.20, 5.16
120.25, -6.83
120.30, -17.67
120.35, 0.86
120.40, 3.34
120.45, -0.23
120.50, -4.86
120.55, -0.50
120.60, -13.65
120.65, -17.41
120.70, -1.91
120.75, -9.49
120.80, 3.08
120.85, -3.77
120.90, -0.25
120.95, -8.49
121.00, -15.09
121.05, 4.79
121.10, -2.23
121.15, -13.55
121.20, -3.55
121.25, 0.74
121.30, -8.78
121.35, -6.04
121.40, -2.03
121.45, -6.19
121.50, -0.50
121.55, -12.77
121.60, 0.95
121.65, 3.44
121.70, -2.85
121.75, -19.84
121.80, -7.09
121.85, 7.21
121.90, -2.22
121.95, -12.95
122.00, -2.32
122.05, 3.18
122.10, 0.02
122.15, 0.94
122.20, -3.98
122.25, -14.01
122.30, 1.44
122.35, -6.53
122.40, 0.09
122.45, -7.58
122.50, -2.99
122.55, 0.86
122.60, 4.65
122.65, -6.39
122.70, 5.18
122.75, 3.41
122.80, 1.97
122.85, -12.94
122.90, -12.89
122.95, 0.75
123.00, 0.42
123.05, -6.65
123.10, 3.04
123.15, -1.34
123.20, 0.66
123.25, -2.42
123.30, -3.62
123.35, 4.72
123.40, -0.85
123.45, -7.11
123.50, -1.69
123.55, 2.55
123.60, 5.85
123.65, -12.25
123.70, -4.61
123.75, -4.31
123.80, 4.12
123.85, 5.79
123.90, 8.04
123.95, -6.22
124.00, 3.41
124.05, 4.80
124.10, -3.98
124.15, 2.32
124.20, 2.89
124.25, -4.25
124.30, -3.30
124.35, -0.33
124.40, 0.76
124.45, -4.31
124.50, -0.36
124.55, -0.92
124.60, 4.62
124.65, -5.75
124.70, -8.20
124.75, 0.47
124.80, -5.15
124.85, -0.08
124.90, -4.50
124.95, 2.32
125.00, -6.40
125.05, -2.97
125.10, -3.72
125.15, 0.02
125.20, 3.69
125.25, -5.11
125.30, 5.57
125.35, 1.81
125.40, -0.41
125.45, -8.83
125.50, -8.41
125.55, 5.64
125.60, -3.69
125.65, -10.51
125.70, 5.20
125.75, 0.44
125.80, -14.03
125.85, 0.85
125.90, -3.52
125.95, 4.18
126.00, -2.50
126.05, -3.81
126.10, -14.80
126.15, -2.20
126.20, -0.85
126.25, -4.43
126.30, 4.56
126.35, 3.63
126.40, 1.79
126.45, -5.56
126.50, -9.01
126.55, 1.06
126.60, -4.77
126.65, 0.46
126.70, 0.13
126.75, 0.75
126.80, -2.38
126.85, 2.96
126.90, -2.64
126.95, 3.53
127.00, -4.13
127.05, -3.39
127.10, 2.83
127.15, -0.34
127.20, 0.12
127.25, 0.72
127.30, 2.97
127.35, 4.46
127.40, -2.58
127.45, 4.01
127.50, -3.79
127.55, -0.29
127.60, -8.18
127.65, 4.38
127.70, -0.67
127.75, 3.81
127.80, 1.06
127.85, -1.82
127.90, -1.31
127.95, 0.02
128.00, 3.96
128.05, 4.52
128.10, 0.94
128.15, -7.83
128.20, -3.39
128.25, -8.21
128.30, -17.15
128.35, 3.13
128.40, 6.60
128.45, 0.06
128.50, -1.14
128.55, 0.17
128.60, -5.73
128.65, 3.42
128.70, -1.95
128.75, -6.64
128.80, -3.54
128.85, 3.53
128.90, 0.08
128.95, 2.23
129.00, -3.66
129.05, -8.18
129.10, -3.51
129.15, -9.22
129.20, 1.55
129.25, 1.61
129.30, -7.04
129.35, 3.64
129.40, 6.17
129.45, -5.60
129.50, 0.40
129.55, 5.52
129.60, -15.01
129.65, -8.28
129.70, 3.26
129.75, -3.37
129.80, 2.60
129.85, -0.60
129.90, 5.78
129.95, -13.44
130.00, 2.28
130.05, -8.16
130.10, 0.52
130.15, 4.63
130.20, 3.39
130.25, -3.17
130.30, -7.49
130.35, -7.16
130.40, 0.18
130.45, -10.41
130.50, 2.57
130.55, -24.23
130.60, 6.63
130.65, 1.90
130.70, -1.56
130.75, -13.86
130.80, -2.76
130.85, -1.43
130.90, 0.23
130.95, -2.13
131.00, -9.39
131.05, -18.30
131.10, 1.26
131.15, 0.53
131.20, -5.07
131.25, -8.76
131.30, -12.78
131.35, 1.74
131.40, 2.56
131.45, -11.80
131.50, -5.37
131.55, 7.85
131.60, -4.03
131.65, 4.28
131.70, -7.54
131.75, 4.02
131.80, -1.07
131.85, -9.82
131.90, 1.82
131.95, 4.01
132.00, 1.10
132.05, -7.51
132.10, 3.14
132.15, 3.93
132.20, 6.13
132.25, -6.70
132.30, -5.66
132.35, -0.51
132.40, -8.63
132.45, -2.47
132.50, -2.85
132.55, -2.18
132.60, -5.91
132.65, 5.77
132.70, -2.99
132.75, 2.05
132.80, 3.31
132.85, -1.51
132.90, -5.50
132.95, -3.23
133.00, -0.41
133.05, 6.73
133.10, -7.66
133.15, 3.95
133.20, -1.54
133.25, 4.81
133.30, -2.81
133.35, -3.21
133.40, -5.75
133.45, 2.53
133.50, 2.19
133.55, -1.28
133.60, 1.41
133.65, -1.46
133.70, 3.94
133.75, -8.60
133.80, 3.36
133.85, -4.23
133.90, 1.33
133.95, 3.14
134.00, 1.23
134.05, -2.48
134.10, -0.47
134.15, -3.75
134.20, -11.91
134.25, -5.50
134.30, 2.65
134.35, 5.19
134.40, -10.55
134.45, 3.70
134.50, 0.66
134.55, -4.79
134.60, 7.26
134.65, -6.05
134.70, 3.79
134.75, 0.97
134.80, -7.86
134.85, -11.00
134.90, -2.94
134.95, 7.02
135.00, -0.18
135.05, 5.43
135.10, -8.70
135.15, -2.11
135.20, -7.41
135.25, -5.30
135.30, -4.85
135.35, -4.78
135.40, -2.02
135.45, 3.13
135.50, -6.97
135.55, 6.20
135.60, -4.85
135.65, 3.42
135.70, -4.88
135.75, 2.29
135.80, -2.25
135.85, 7.27
135.90, -2.97
135.95, 7.31
136.00, -1.56
136.05, 5.51
136.10, -6.37
136.15, 0.34
136.20, 1.26
136.25, 2.25
136.30, 0.64
136.35, 0.83
136.40, 6.64
136.45, 4.84
136.50, -0.18
136.55, -9.25
136.60, 1.95
136.65, -2.11
136.70, 6.61
136.75, -6.50
136.80, -0.65
136.85, 3.74
136.90, -6.76
136.95, 0.80
137.00, 0.50
137.05, -6.90
137.10, 0.77
137.15, -3.19
137.20, 1.06
137.25, 0.93
137.30, 7.36
137.35, 6.67
137.40, -0.45
137.45, -1.12
137.50, 4.14
137.55, 1.08
137.60, -3.38
137.65, 5.97
137.70, -8.00
137.75, -3.12
137.80, -2.79
137.85, 0.02
137.90, 3.89
137.95, 6.39
138.00, 4.74
138.05, 0.60
138.10, 1.04
138.15, -0.58
138.20, -7.37
138.25, 1.41
138.30, 0.64
138.35, -0.87
138.40, -0.55
138.45, 4.55
138.50, -6.89
138.55, 0.40
138.60, -0.80
138.65, -4.62
138.70, 4.49
138.75, 1.67
138.80, 5.62
138.85, 4.42
138.90, 3.47
138.95, 3.93
139.00, 1.80
139.05, 4.11
139.10, 4.68
139.15, -2.40
139.20, 4.51
139.25, 4.41
139.30, -16.61
139.35, -0.04
139.40, -3.12
139.45, -1.70
139.50, 2.10
139.55, -5.45
139.60, -23.81
139.65, -11.00
139.70, 5.77
139.75, -1.02
139.80, 3.50
139.85, -1.87
139.90, -8.08
139.95, 4.45
140.00, -2.90
140.05, -13.74
140.10, -3.50
140.15, -2.90
140.20, 1.02
140.25, 2.28
140.30, 1.76
140.35, 6.14
140.40, 1.70
140.45, -4.42
140.50, 1.80
140.55, 1.27
140.60, 2.42
140.65, 2.96
140.70, 5.18
140.75, 2.44
140.80, -0.36
140.85, 3.35
140.90, -4.72
140.95, -2.30
141.00, 3.37
141.05, 0.64
141.10, -2.06
141.15, -1.65
141.20, 3.76
141.25, -7.37
141.30, 0.92
141.35, -2.69
141.40, -2.68
141.45, 4.31
141.50, -1.80
141.55, 2.84
141.60, -4.97
141.65, 6.69
141.70, 1.97
141.75, -0.20
141.80, 6.36
141.85, 2.98
141.90, -1.84
141.95, 7.60
142.00, 0.42
142.05, -3.82
142.10, 1.23
142.15, -1.59
142.20, -2.64
142.25, 1.65
142.30, 2.68
142.35, -5.55
142.40, 5.47
142.45, 1.16
142.50, 8.90
142.55, -3.10
142.60, -5.52
142.65, 0.93
142.70, 4.38
142.75, -4.80
142.80, -11.44
142.85, 2.71
142.90, -3.48
142.95, -3.22
143.00, -5.45
143.05, 4.70
143.10, -1.68
143.15, -3.18
143.20, 1.60
143.25, 5.43
143.30, 4.42
143.35, 6.42
143.40, 3.82
143.45, 4.22
143.50, 0.79
143.55, -5.32
143.60, -16.53
143.65, 2.82
143.70, 0.78
143.75, -0.80
143.80, 0.19
143.85, 1.56
143.90, 4.48
143.95, 3.75
144.00, -1.37
144.05, 0.37
144.10, 1.25
144.15, -2.12
144.20, 4.85
144.25, 3.61
144.30, 6.28
144.35, -2.32
144.40, -2.71
144.45, -0.06
144.50, 3.57
144.55, 3.17
144.60, 2.18
144.65, 1.94
144.70, 5.36
144.75, 2.81
144.80, -3.24
144.85, 6.64
144.90, 4.67
144.95, -10.15
145.00, 7.53
145.05, -1.15
145.10, -9.64
145.15, -5.40
145.20, 8.11
145.25, -2.08
145.30, -0.67
145.35, 5.73
145.40, 6.69
145.45, 1.43
145.50, 8.65
145.55, -15.30
145.60, -1.05
145.65, -1.17
145.70, 0.98
145.75, -0.85
145.80, -1.39
145.85, 2.02
145.90, 0.13
145.95, 3.84
146.00, 4.55
146.05, 7.16
146.10, -5.11
146.15, -7.51
146.20, 3.63
146.25, 6.11
146.30, 3.71
146.35, 2.15
146.40, 6.64
146.45, 4.68
146.50, -9.14
146.55, 5.78
146.60, 0.37
146.65, 1.36
146.70, 6.45
146.75, -4.97
146.80, -3.28
146.85, -2.59
146.90, 3.72
146.95, -1.43
147.00, 5.27
147.05, -6.50
147.10, 3.42
147.15, -3.34
147.20, 3.00
147.25, 1.57
147.30, 5.23
147.35, 2.13
147.40, -6.93
147.45, 6.20
147.50, -0.24
147.55, 7.89
147.60, -2.88
147.65, 2.21
147.70, -4.70
147.75, 8.81
147.80, 4.02
147.85, 2.33
147.90, 1.10
147.95, -6.24
148.00, 0.40
148.05, 5.92
148.10, 1.09
148.15, -8.66
148.20, 5.79
148.25, -6.51
148.30, -5.25
148.35, -0.85
148.40, -0.27
148.45, 4.23
148.50, 6.68
148.55, 2.31
148.60, 2.97
148.65, 2.74
148.70, -3.35
148.75, -4.08
148.80, -12.44
148.85, -16.65
148.90, -3.56
148.95, 7.87
149.00, 4.59
149.05, 5.43
149.10, 8.16
149.15, 0.26
149.20, -12.84
149.25, 1.64
149.30, 3.76
149.35, 1.83
149.40, 6.03
149.45, 3.48
149.50, -2.81
149.55, -4.21
149.60, 1.35
149.65, 4.15
149.70, 3.88
149.75, 5.20
149.80, 1.30
149.85, 7.53
149.90, 4.96
149.95, -3.24
150.00, 0.34
150.05, 0.45
150.10, -9.40
150.15, 9.78
150.20, 4.49
150.25, 2.42
150.30, -4.70
150.35, 2.42
150.40, 6.25
150.45, 7.29
150.50, 8.12
150.55, 3.95
150.60, 7.06
150.65, 4.48
150.70, 2.97
150.75, 8.47
150.80, 4.43
150.85, -0.45
150.90, 0.11
150.95, -1.86
151.00, -6.79
151.05, 5.12
151.10, 2.00
151.15, 11.34
151.20, 4.08
151.25, 4.83
151.30, -1.78
151.35, -0.43
151.40, 4.46
151.45, 6.33
151.50, 8.23
151.55, 1.68
151.60, 3.89
151.65, 4.57
151.70, 5.90
151.75, 0.21
151.80, -14.82
151.85, -1.57
151.90, 6.98
151.95, -7.27
152.00, -2.64
152.05, -2.22
152.10, -2.17
152.15, 5.47
152.20, 6.45
152.25, 5.37
152.30, 11.04
152.35, 8.62
152.40, -2.27
152.45, -1.94
152.50, 4.54
152.55, -1.38
152.60, -3.34
152.65, 6.08
152.70, 5.62
152.75, -3.86
152.80, -1.87
152.85, 8.67
152.90, -10.20
152.95, -2.04
153.00, 3.63
153.05, 11.14
153.10, -6.74
153.15, 11.50
153.20, 4.64
153.25, -6.14
153.30, 2.40
153.35, 5.38
153.40, 2.35
153.45, -3.05
153.50, -1.36
153.55, 6.98
153.60, 4.33
153.65, -14.20
153.70, 4.11
153.75, 3.16
153.80, -1.26
153.85, -2.81
153.90, 6.31
153.95, 2.27
154.00, -6.10
154.05, -0.42
154.10, 8.36
154.15, 2.43
154.20, -0.10
154.25, 1.26
154.30, 7.47
154.35, -12.43
154.40, -1.87
154.45, -1.49
154.50, 6.57
154.55, 1.41
154.60, -17.30
154.65, -0.20
154.70, 3.94
154.75, -0.13
154.80, 0.20
154.85, 0.21
154.90, -0.23
154.95, 2.30
155.00, -2.71
155.05, 5.06
155.10, -6.89
155.15, 7.54
155.20, 6.14
